1605144449.767835, 	 reno rto:1000 mss:524 cwnd:10 segs_out:1 lastsnd:506576 lastrcv:506576 lastack:506576 unacked:1
1605144449.804352, 	 reno rto:1000 mss:524 cwnd:10 segs_out:1 lastsnd:506600 lastrcv:506600 lastack:506600 unacked:1
1605144449.833956, 	 reno wscale:9,9 rto:232 rtt:29.247/13.372 mss:1448 cwnd:15 bytes_acked:5817 segs_out:22 segs_in:4 send 5.9Mbps lastsnd:4 lastrcv:24 lastack:4 pacing_rate 11.9Mbps unacked:15 rcv_space:14480
1605144449.857979, 	 reno wscale:9,9 rto:228 rtt:26.302/5.786 mss:1448 cwnd:26 bytes_acked:21745 segs_out:44 segs_in:10 send 11.5Mbps lastrcv:44 pacing_rate 22.9Mbps unacked:26 rcv_space:14480
1605144449.882749, 	 reno wscale:9,9 rto:228 rtt:27.934/2.642 mss:1448 cwnd:52 bytes_acked:59393 segs_out:95 segs_in:23 send 21.6Mbps lastrcv:76 pacing_rate 43.1Mbps unacked:51 rcv_space:14480
1605144449.909692, 	 reno wscale:9,9 rto:236 rtt:35.046/6.75 mss:1448 cwnd:70 bytes_acked:85457 segs_out:131 segs_in:32 send 23.1Mbps lastsnd:4 lastrcv:100 lastack:4 pacing_rate 46.3Mbps unacked:69 rcv_space:14480
1605144449.933250, 	 reno wscale:9,9 rto:248 rtt:45.341/8.869 mss:1448 cwnd:88 bytes_acked:111521 segs_out:167 segs_in:41 send 22.5Mbps lastrcv:120 pacing_rate 45.0Mbps unacked:87 rcv_space:14480
1605144449.955407, 	 reno wscale:9,9 rto:256 rtt:52.536/9.873 mss:1448 cwnd:106 bytes_acked:137585 segs_out:203 segs_in:47 send 23.4Mbps lastrcv:140 pacing_rate 46.7Mbps unacked:105 rcv_space:14480
1605144449.974152, 	 reno wscale:9,9 rto:264 rtt:60.725/12.334 mss:1448 cwnd:121 bytes_acked:159305 segs_out:233 segs_in:52 send 23.1Mbps lastrcv:160 pacing_rate 46.2Mbps unacked:120 rcv_space:14480
1605144449.995386, 	 reno wscale:9,9 rto:272 rtt:70.985/13.484 mss:1448 cwnd:139 bytes_acked:185369 segs_out:269 segs_in:58 send 22.7Mbps lastsnd:4 lastrcv:184 lastack:4 pacing_rate 45.4Mbps unacked:138 rcv_space:14480
1605144450.016213, 	 reno wscale:9,9 rto:284 rtt:80.867/13.249 mss:1448 cwnd:157 bytes_acked:211433 segs_out:305 segs_in:64 send 22.5Mbps lastrcv:204 pacing_rate 45.0Mbps unacked:156 rcv_space:14480
